Human_Genename	Human_GeneID	Mouse_GeneID	Mouse_Genename	Imprinted_species	Human_notes	Imprinting_status_Baran
SNORD107	"ENSG00000238810, ENSG00000276314"	ENSMUSG00000089375	Snord107	human	-	small RNA gene
SNORD108	ENSG00000239014	-	-	human	-	small RNA gene
SNORD109A	"ENSG00000238678, ENSG00000270246, ENSG00000274640"	-	-	human	-	small RNA gene
SNORD109B	ENSG00000239169	-	-	human	-	small RNA gene
SNORD115-48	ENSG00000201634	ENSMUSG00000094508	Gm26230	human	from geneimprint	small RNA gene
SNORD116-1	ENSG00000207063	-	-	human	from geneimprint	small RNA gene
SNORD64	"ENSG00000209418, ENSG00000270704, ENSG00000276610"	ENSMUSG00000077191	Snord64	human	-	small RNA gene
SNRPN	ENSG00000128739	ENSMUSG00000102252	Snrpn	"human, mouse"	-	imprinted
SNURF	"ENSG00000214265, ENSG00000273173"	"ENSMUSG00000102627,ENSMUSG00000000948"	"Snurf,Snrpn"	"human, mouse"	-	imprinted
TCEB3C	ENSG00000183791	-	-	human	-	no data
TFPI2	ENSG00000105825	ENSMUSG00000029664	Tfpi2	"human, mouse"	-	biallelic
TH	ENSG00000180176	ENSMUSG00000000214	Th	"human, mouse"	from otago pdf	consistent with imprinted
TP73	ENSG00000078900	ENSMUSG00000029026	Trp73	human	conflicting	biallelic
TSPAN32	ENSG00000064201	ENSMUSG00000000244	Tspan32	"human, mouse"	from otago pdf	consistent with imprinted
TSSC4	ENSG00000184281	ENSMUSG00000045752	Tssc4	"human, mouse"	from otago pdf	consistent with imprinted
UBE3A	ENSG00000114062	ENSMUSG00000025326	Ube3a	"human, mouse"	-	imprinted
USP29	ENSG00000131864	ENSMUSG00000051527	Usp29	"human, mouse"	from otago pdf	biallelic
WIF1	ENSG00000156076	ENSMUSG00000020218	Wif1	human	-	biallelic
WT1	ENSG00000184937	ENSMUSG00000016458	Wt1	human	-	biallelic
WT1-AS	ENSG00000183242	-	-	human	provisional	biallelic
ZC3H12C	ENSG00000149289	ENSMUSG00000035164	Zc3h12c	human	from geneimprint	biallelic
ZDBF2	ENSG00000204186	ENSMUSG00000027520	Zdbf2	"human, mouse"	-	imprinted
ZFAT	ENSG00000066827	ENSMUSG00000022335	Zfat	human	provisional	biallelic
ZFAT-AS1	ENSG00000248492	-	-	human	provisional	no data
ZIM2	ENSG00000269699	-	-	human	-	no data
ZIM3	ENSG00000141946	-	-	human	from otago pdf	no data
ZNF215	ENSG00000149054	-	-	human	provisional	biallelic
ZNF264	ENSG00000083844	-	-	human	from otago pdf	biallelic
ZNF331	ENSG00000130844	-	-	human	provisional	imprinted
ZNF597	ENSG00000167981	ENSMUSG00000039789	Zfp597	human	-	imprinted
